Count	Name	Area	Author	Closed	Color	Comments	Drawing Revision Number	EdgeStyleId	FaceStyleId	File Accessed	File Created	File Last Saved By	File Location	File Modified	File Name	File Size	Global Width	Hyperlink	Hyperlink Base	Keywords	Layer	Length	Linetype	Linetype Scale	Lineweight	Material	Plot Style	Subject	Thickness	Title	Total Editing Time	VisualStyleId	Height	Obliquing	Position X	Position Y	Position Z	Rotation	Style	Value	Width Factor	Angle	Associative	BackgroundColor	Double	Origin X	Origin Y	Pattern Name	Scale	Spacing	Type	Center X	Center Y	Center Z	Circumference	Diameter	Radius	Angle1	Delta X	Delta Y	Delta Z	End X	End Y	End Z	Start X	Start Y	Start Z	Dim Style	DynamicDimension	TextDefinedSize	Constant	Invisible	Lock Position	Preset	Prompt	Tag	Verify
1	Polyline	1302689068.68280		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	186349.76115	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Polyline	6523348461.39963		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	225513.62057	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1470.54412	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										215.31121	-1200.40777	-849.42402	0.00000	2735139.21125	-527431.00824	0.00000	2736339.21125	-526581.00824	0.00000										
1	Hatch	139507.51151			ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$CHG_XX_Damsan_Ham 2$0$HATCH		ByLayer	1.00000	ByLayer		ByLayer				3873447	(0)										0.00000	False		False	0.00000	0.00000	ANSI31	1000.00000	1000.00000	Predefined																										
1	Polyline	15697020185.38369		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	483831.80256	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$CHG_XX_Damsan_Ham 2$0$Start lo mo	7467.26189	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										200.37644	-7001.24693	-2596.64044	0.00000	2782289.21126	-480856.01145	0.00000	2789289.21126	-478256.01143	0.00000										
1	Text				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$1$CHG_XX_Damsan_Ham 2$0$TTP-TEXT		ByLayer	1.00000	ByLayer		ByLayer		0.00000		3873447	(0)	500.00000	0.00000	2759698.83385	-548494.72381	0.00000	0.00000	$1$CHG_XX_Damsan_Ham 2$0$TTP-HelCon	 -6.780	1.00000																																				
1	Circle	426211.34138			ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$1$CHG_XX_Damsan_Ham 2$0$DMo		ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																				2759132.31992	-548275.13610	0.00000	2314.28816	736.66080	368.33040																				
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$1$CHG_XX_Damsan_Ham 2$0$DMo	736.66080	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										0.00000	736.66072	-0.35352	0.00000	2759500.65032	-548275.13610	0.00000	2758763.98952	-548275.13610	0.00000										
1	Circle	3141592.65359			ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					0		ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																				2762160.01218	-526422.70827	0.00000	6283.18531	2000.00000	1000.00000																				
